player_id,form_a,period_a,club_a,n_a,ar_a,form_b,period_b,club_b,n_b,ar_b,leagues,similarity,shared_clubs,match_cooccur,cooccur_rate_pct,unique_pid_both_sides,decision
2632,Ali Abdullah Hazazi,2023-08-14..2026-08-13,"Al-Ettifaq, Al-Qadisiyah FC",95,عبد الله هزازي,Ali Hazazi,2023-08-14..2026-08-13,"Al-Ettifaq, Al-Qadisiyah FC",95,علي هزازي,SAU,0.69,"Al-Ettifaq, Al-Qadisiyah FC",95/95,100.0,True,
134766,Abdulrahman Al Safari,2023-08-12..2026-05-21,"Al Kholood, Al-Fayha",88,عبد الرحمن السفري,Abdulrahman Al-Safri,2023-08-12..2026-05-21,"Al Kholood, Al-Fayha",88,عبدالرحمن السفري,SAU,0.927,"Al Kholood, Al-Fayha",88/88,100.0,True,
1642,F. Kessie,2023-08-11..2026-05-16,Al-Ahli Jeddah,87,فرانك كيسي,Franck Kessié,2023-08-11..2026-05-16,Al-Ahli Jeddah,86,فرانك كيسيه,SAU,0.636,Al-Ahli Jeddah,86/86,100.0,True,
4476,A. Bedrane,2023-08-12..2026-05-21,Damac,86,عبد القادر بدران,Abdelkader Bedrane,2023-08-12..2026-05-21,Damac,86,عبدالقادر بدران,SAU,0.643,Damac,86/86,100.0,True,
44755,Fahad Al Rashidi,2023-08-11..2026-08-25,"Al Taawon, Al-Ahli Jeddah",97,فهد الرشيدي,Fahad Ayed Al-Rashidi,2023-08-11..2026-04-23,"Al Taawon, Al-Ahli Jeddah",84,فهد عايض الرشيدي,SAU,0.811,"Al Taawon, Al-Ahli Jeddah",84/84,100.0,False,
286672,Alhwsawi Sanousi Mohammed,2023-08-14..2026-05-21,"Al-Ettifaq, Damac",80,سنوسي هوساوي,Sanousi Al Hawsawi,2023-08-14..2026-05-21,"Al-Ettifaq, Damac",80,سنوسي الهوساوي,SAU,0.465,"Al-Ettifaq, Damac",80/80,100.0,True,
2290,N'Golo Kanté,2023-08-14..2026-01-29,Al-Ittihad FC,79,نغولو كانتي,N. Kanté,2023-08-14..2026-01-29,Al-Ittihad FC,79,نجولو كانتي,SAU,0.7,Al-Ittihad FC,79/79,100.0,True,
2641,Abdulfattah Adam,2023-08-14..2026-01-30,"Al Taawon, Al-Nassr",69,عبد الفتاح آدم,Abdulfattah Adam Mohammed,2023-08-14..2026-01-30,"Al Taawon, Al-Nassr",69,عبدالفتاح آدم محمد,SAU,0.78,"Al Taawon, Al-Nassr",69/69,100.0,True,
44459,Husain Al-Monassar,2023-08-14..2025-05-26,"Al Shabab, Al-Qadisiyah FC",65,حسين المنصر,Hussain Al Qahtani,2023-08-14..2026-09-09,"Al Diriyah, Al Shabab, Al-Qadisiyah FC",84,حسين القحطاني,SAU,0.611,"Al Shabab, Al-Qadisiyah FC",65/65,100.0,True,
19344,Y. Barbet,2024-08-29..2026-05-21,Al Riyadh,63,يوان باربت,Yoann Barbet,2024-08-29..2026-05-21,Al Riyadh,63,يوان باربيه,SAU,0.762,Al Riyadh,63/63,100.0,True,
47430,W. Hoedt,2024-08-29..2026-05-20,Al Shabab,63,ويسلي هويدت,Wesley Hoedt,2024-08-29..2026-05-20,Al Shabab,63,ويسلي هودت,SAU,0.7,Al Shabab,63/63,100.0,True,
431622,Abdul Rahman Al Shammari,2024-08-22..2026-05-21,Al Riyadh,63,عبدالرحمن الشمري,Abdurahman Al Shammeri,2023-08-28..2026-05-21,Al Riyadh,99,عبد الرحمن الشمري,SAU,0.913,Al Riyadh,63/63,100.0,False,
44325,A. Hamed-Allah,2023-08-14..2026-09-05,"Al Shabab, Al Taawon, Al-Ittihad FC",76,عبد الرزاق حمد الله,Abderrazak Hamdallah,2023-08-14..2026-04-14,"Al Shabab, Al-Ittihad FC",62,عبدالرزاق حمدالله,SAU,0.647,"Al Shabab, Al-Ittihad FC",62/62,100.0,True,
43953,Ala Al Hajji,2023-08-13..2025-05-26,Al Wehda Club,60,علاء الهجي,Ala'a Al-Hejji,2023-08-13..2026-08-28,"Al Wehda Club, NEOM",101,علاء حجي,SAU,0.769,Al Wehda Club,60/60,100.0,False,
21761,O. Gonzalez,2023-08-19..2025-05-26,Al-Raed,58,أومار غونزاليس,Oumar Gonzalez,2023-08-19..2025-05-26,Al-Raed,58,عمر غونزاليز,SAU,0.8,Al-Raed,58/58,100.0,True,
44439,N. Stanciu,2023-09-14..2025-05-17,Damac,56,نيكولاي ستانتشيو,Nicolae Stanciu,2023-09-14..2025-05-17,Damac,56,نيكولاي ستانتشو,SAU,0.72,Damac,56/56,100.0,True,
2773,W. Troost-Ekong,2024-08-24..2026-09-03,"Al Ahli Doha, Al Kholood",58,وليام تروست-إيكونغ,William Troost-Ekong,2024-08-24..2026-04-27,"Al Ahli Doha, Al Kholood",52,ويليام تروست-إيكونغ,"QAT, SAU",0.8,"Al Ahli Doha, Al Kholood",52/52,100.0,True,
44380,Khalid Al-Kaabi,2023-08-12..2025-05-26,Al-Fayha,50,خالد الكعبي,Khalid Kaabi,2023-08-12..2025-05-26,Al-Fayha,50,خالد كعبي,SAU,0.889,Al-Fayha,50/50,100.0,True,
