team_id,color_hex
962,#fe6202
964,#066738
965,#fe0101
968,#d9031c
969,#02581a
971,#9d090a
973,#e21e26
974,#2220b2
975,#253466
976,#c9e6cf
977,#ed2b34
1030,#103da2
1031,#0b6507
1032,#e30513
1036,#1a365c
1037,#ff0303
1039,#e1010b
1040,#bb0505
1041,#c21231
1044,#29307a
1046,#fcdd04
1048,#0356b4
1074,#00410f
1075,#46a843
1572,#046702
1574,#000d4b
1575,#030ca9
1576,#9b0320
1577,#cd081a
2865,#a29061
2867,#00c1f4
2868,#00a44f
2869,#0b6595
2870,#ad2126
2871,#e3031e
2872,#fdec00
2873,#0404fc
2874,#3657a5
2875,#a09167
2876,#fef400
2877,#0b559f
2879,#ee944b
2893,#dc5140
2894,#2a3792
2895,#837051
2896,#349313
2897,#e3282b
2898,#1e1de2
2899,#f7db9d
2900,#5799d3
2901,#031dfd
2902,#050557
2903,#fef101
2904,#e31b23
2905,#ba1f23
2908,#9c251d
2916,#c51e24
2926,#93bce6
2928,#006f3e
2929,#008256
2930,#791015
2931,#00e400
2932,#0128f1
2933,#ed0000
2934,#016b40
2935,#b71f2a
2936,#01286a
2937,#812929
2938,#fef300
2939,#071b4e
2940,#ebe2df
2942,#dcd0c8
2944,#fe7103
2945,#fcb911
2950,#0a3658
2951,#003d74
2956,#a10801
2961,#3255a5
2977,#6cbae3
2992,#156534
3449,#1d1e6f
3451,#fefe02
3453,#fefd00
3454,#3cc735
3455,#035826
3456,#9d8552
4529,#9a2027
4530,#088823
4531,#0383e2
4532,#f1e211
4533,#9a0405
4534,#272281
4535,#00428a
4536,#83a17e
4537,#027e3f
4538,#373f75
4539,#e93a2c
4543,#073435
4912,#1fa14c
5242,#7eb388
6387,#ec1e23
6689,#ccdee5
7520,#017c5c
7527,#e5c86e
8009,#fac711
8010,#2a4389
9136,#7db040
9139,#00a550
9140,#b2cdb5
10121,#098609
10155,#230585
10509,#870326
10511,#e7241e
10513,#121126
11063,#f8d06a
11064,#fd8222
11065,#fb0101
11066,#292daa
11067,#4155a3
11069,#2499e0
11070,#fdcc0d
11071,#058626
11072,#061d3d
11073,#1fcb01
11074,#6b2232
11474,#cea39c
13819,#b20013
13822,#020439
14651,#d09e3c
14806,#039229
15543,#e60101
15544,#faf402
15546,#0059b8
15547,#e51e24
15570,#217f36
15731,#e40f0e
15736,#fba102
16431,#a51a09
17467,#f68221
17469,#cd6c54
17472,#ba1e23
17792,#282b98
18021,#9bd034
18036,#e52925
20458,#fcea51
20463,#fbdb01
20464,#149919
22188,#c8b26d
22218,#dd2824
22321,#bca26a
25058,#0d2249
25061,#fc8304
25062,#ccdee5
25063,#f6861e
26598,#e33230
26600,#1b5d1f
26738,#daba9b
28222,#03a353
28223,#3c7d67
