team_id,old_name,keep_name,confidence,note
2903,Pedro Martins,Pedro Rui da Mota Vieira Martins,مؤكد,Al-Gharafa — بند المدربين
1036,Krunoslav Jurcic,Krunoslav Jurčić,مؤكد,Pyramids FC — بند المدربين
2944,Pedro Emanuel,Pedro Emanuel dos Santos Martins Silva,مؤكد,Al-Fayha — بند المدربين
2934,Saad Al Shehri,Saad Ali Saad Ruziq Al Shehri,مؤكد,Al-Ettifaq — بند المدربين
2870,Paulo Sousa,Paulo Manuel Carvalho de Sousa,مؤكد,Shabab Al Ahli Dubai — بند المدربين
2916,David Prats,David Prats Racero,مؤكد,Al Shamal — بند المدربين
10509,Des Buckingham,Desmond Buckingham,مؤكد,Al Kholood — بند المدربين
2939,Jorge Jesus,Jorge Fernando Pinheiro de Jesus,مؤكد,Al-Nassr — بند المدربين
2956,Armando Evangelista,Armando Evangelista Macedo Freitas,مؤكد,Damac — بند المدربين
2905,Pablo Amo,Pablo Amo Aguado,مؤكد,Al-Arabi SC — بند المدربين
7520,Mohamed Shawky,Mohamed Ali Abu El Yazid Shawky,مؤكد,Masr — بند المدربين
2865,Vladimir Ivic,Vladimir Ivić,مؤكد,Al Ain — بند المدربين
20458,Reda El Sayed,Reda Shehata El Sayed Abou El Naga,مؤكد,Kahraba Ismailia — بند المدربين
13819,Alaa Abdelaal,Alaa Abdel Aal,مؤكد,Ghazl El Mehalla — بند المدربين
10511,Javier Calleja,Javier Calleja Revilla,مؤكد,Al Riyadh — بند المدربين
2893,Santiago Denia,Santiago Denia Sánchez,مؤكد,Al Shahaniya — بند المدربين
10155,Slavisa Jokanovic,Slaviša Jokanović,مؤكد,Al Nasr — بند المدربين
2900,Vicente Moreno,Vicente Moreno Peris,مؤكد,Al Wakrah — بند المدربين
2873,Zeljko Petrovic,Željko Petrović,مؤكد,Al-Dhafra — بند المدربين
16431,Magdy Abdelaaty,Magdy Abdel Aaty,مؤكد,Future FC — بند المدربين
10511,Mauricio Dulac,Maurício Dulac,مؤكد,Al Riyadh — بند المدربين
2928,Jose Gomes,José Gomes,مؤكد,Al Khaleej Saihat — بند المدربين
2874,Jose Morais,José Morais,مؤكد,Sharjah FC — بند المدربين
2876,Victor Sanchez,Víctor Sánchez,مؤكد,Al-Ittihad Kalba — بند المدربين
2870,Andre Jardine,André Jardine,مؤكد,Shabab Al Ahli Dubai — بند المدربين
2896,Borja Jimenez,Borja Jiménez,مؤكد,Al Ahli Doha — بند المدربين
