league,team_ar,seasons,appearances,player_en,full_name_en,player_id_suspect,other_name_same_id,name_similarity,player_ar
EGY,أبو قير للأسمدة,2026-2027,1,Mostafa Rahim,,310083,,,
EGY,الاتحاد السكندري,2025-2026,20,Body,Abdelrahman Body,17096,Abdel Rahman Ramadan,0.17,
EGY,الاتحاد السكندري,2025-2026,18,H. Balaha,Hesham Balaha,17062,Hesham Nabawi,0.36,
EGY,البنك الأهلي,2025-2026 .. 2026-2027,41,M. Shalaby,Karim Tarek,17187,Karim Tarek,0.29,
EGY,البنك الأهلي,2025-2026 .. 2026-2027,38,Oufa,Ahmed Amin | Ahmed Amin Aoufa | Ahmed Amin Oufa,295633,Ahmed Amin,0.14,
EGY,البنك الأهلي,2025-2026 .. 2026-2027,36,M. Dowidar,Mostafa Dowidar,17226,Mostafa Adel,0.27,
EGY,البنك الأهلي,2024-2025 .. 2025-2026,26,Mostafa Shehata,Mostafa Abdelrahim | Mostafa Rahim,310083,,,
EGY,البنك الأهلي,2024-2025,21,Mostafa Abdelrahim,,310083,M. Shehata,0.29,
EGY,البنك الأهلي,2026-2027,3,Bencharki,Mohamed Ashraf,498397,Mohamed Ashraf Ben Sharqi,0.41,
EGY,الداخلية,2022-2023 .. 2026-2027,14,Abdelrahman Ramadan,,458144,,,
EGY,الداخلية,2023-2024,12,Abdel Rahman Hamawy,Abdelrahman Ramadan,458144,A. Ramadan,0.48,
EGY,الزمالك,2022-2023 .. 2026-2027,282,Zizo,,562540,Z. Osama,0.33,
EGY,الزمالك,2022-2023 .. 2025-2026,102,Mohamed Tarek,,342746,M. Hamdy,0.48,
EGY,الزمالك,2025-2026 .. 2026-2027,39,M. Shehata,Mohamed Shehata | Mostafa Abdelrahim | Mostafa Rahim | Mostafa Shehata,310083,Mostafa Abdelrahim,0.29,
EGY,الزمالك,2024-2025 .. 2025-2026,16,Abdel Hamid Maali,,417820,A. Maâli,0.48,
EGY,الشرقية إنبي,2022-2023 .. 2026-2027,130,Ahmed Amin Aoufa,Ahmed Amin | Ahmed Amin Oufa,295633,,,
