player_id,form_a,period_a,club_a,n_a,ar_a,form_b,period_b,club_b,n_b,ar_b,leagues,similarity,shared_clubs,match_cooccur,cooccur_rate_pct,unique_pid_both_sides,decision
44652,Makhir Al Rashidi,2023-08-12..2026-09-08,Al-Fayha,94,محمد الرشيدي,Mokher Al-Rashidi,2023-08-12..2026-09-03,Al-Fayha,96,مخير الرشيدي,SAU,0.824,Al-Fayha,92/93,98.9,False,
35532,J. Quinones,2024-08-23..2026-09-03,Al-Qadisiyah FC,63,خوليان كينيونيس,Julián Quiñones,2024-08-23..2026-08-30,Al-Qadisiyah FC,66,جوليان كينيونيس,SAU,0.692,Al-Qadisiyah FC,62/63,98.4,True,
8821,S. Godwin,2023-09-14..2026-09-05,"Al Okhdood, Baniyas SC",60,سافيور جودوين,Saviour Godwin,2023-09-14..2026-05-05,"Al Okhdood, Baniyas SC",75,سافيور غودوين,"SAU, UAE",0.696,"Al Okhdood, Baniyas SC",58/59,98.3,True,
280501,S. Balobaid,2023-08-13..2026-09-08,"Al Shabab, Al Taawon, Al-Ahli Jeddah",99,سعد بالعبيد,Saad Yaslam Balobaid,2023-08-13..2026-09-01,"Al Shabab, Al Taawon, Al-Ahli Jeddah",97,سعد يسلم بالعبيد,SAU,0.645,"Al Shabab, Al Taawon, Al-Ahli Jeddah",93/95,97.9,True,
137620,R. Rivas,2024-09-13..2026-08-30,"Al Taawon, Al Wahda FC, Al-Ittihad Kalba",52,ريجوبيرتو ريفاس,Renné Rivas,2024-09-13..2026-09-06,"Al Taawon, Al Wahda FC, Al-Ittihad Kalba",43,رينيه ريفاس,"SAU, UAE",0.737,"Al Taawon, Al Wahda FC, Al-Ittihad Kalba",41/42,97.6,True,
30521,M. Demiral,2023-08-24..2026-09-08,Al-Ahli Jeddah,74,مريح ديميرال,Merih Demiral,2023-08-24..2026-09-01,Al-Ahli Jeddah,74,ميريح ديميرال,SAU,0.783,Al-Ahli Jeddah,70/72,97.2,True,
41197,Galeno,2025-02-07..2026-09-08,Al-Ahli Jeddah,40,جالينو,Wenderson Galeno,2025-02-07..2026-09-01,Al-Ahli Jeddah,36,ويندرسون جالينو,SAU,0.545,Al-Ahli Jeddah,34/35,97.1,True,
437482,A. Kone,2025-08-28..2026-09-03,NEOM,36,ألفا كونيه,Amadou Koné,2025-09-14..2026-08-28,NEOM,36,أمادو كوني,SAU,0.556,NEOM,34/35,97.1,False,
409613,Faisal Al Subiani,2024-03-02..2026-09-09,"Abha, Al Shabab, Al-Ahli Jeddah, Damac",69,فيصل السبياني,Faisal Al-Sibyani,2024-03-02..2026-08-28,"Abha, Al Shabab, Al-Ahli Jeddah, Damac",69,فيصل الصبياني,SAU,0.824,"Abha, Al Shabab, Al-Ahli Jeddah, Damac",65/67,97.0,True,
402455,Fahad Al Zubaidi,2024-08-23..2026-09-09,"Al Orubah, Al-Fateh",33,فهد الزبيدي,Fahad Zubaidi,2024-08-23..2026-08-29,"Al Orubah, Al-Fateh",69,فهد زبيدي,SAU,0.897,"Al Orubah, Al-Fateh",31/32,96.9,False,
51449,G. Álvarez,2024-08-23..2026-09-08,Al-Qadisiyah FC,65,غاستون ألفاريس,Gastón Álvarez,2024-08-23..2026-08-30,Al-Qadisiyah FC,65,غاستون ألفاريز,SAU,0.75,Al-Qadisiyah FC,61/63,96.8,False,
