player_id,form_a,period_a,club_a,n_a,ar_a,form_b,period_b,club_b,n_b,ar_b,leagues,similarity,shared_clubs,match_cooccur,cooccur_rate_pct,unique_pid_both_sides,decision
17145,Bobo,2026-08-23..2026-09-02,Ceramica Cleopatra,3,,M. Reda,2025-08-08..2026-05-20,"Ceramica Cleopatra, Pyramids FC",20,,EGY,0.0,Ceramica Cleopatra,0/3,0.0,False,
2514,Alejandro Romero,2024-05-29..2026-04-23,Al Ain,35,,Kaku,2023-08-18..2026-08-29,Al Ain,54,,UAE,0.1,Al Ain,15/28,53.6,True,
1617,Ahmad Hassan,2025-09-18..2026-05-21,Al-Ettifaq,16,أحمد حسن,Kouka,2025-09-18..2026-05-21,Al-Ettifaq,16,أحمد حسن كوكا,SAU,0.118,Al-Ettifaq,16/16,100.0,False,
17145,Bobo,2026-08-23..2026-09-02,Ceramica Cleopatra,3,,Mohamed Reda,2022-10-20..2026-09-08,"Ceramica Cleopatra, Future FC, Pyramids FC",128,,EGY,0.125,Ceramica Cleopatra,3/3,100.0,False,
393210,Ahmed Atef,2023-05-31..2026-08-31,"El Mokawloon, Masr, Pyramids FC",106,,Otta,2026-08-27..2026-08-31,Pyramids FC,2,,EGY,0.143,Pyramids FC,2/2,100.0,False,
16858,El Wensh Mahmoud,2025-08-08..2026-08-21,Zamalek SC,17,,M. I. Hassan,2026-02-24..2026-08-31,Zamalek SC,9,,EGY,0.143,Zamalek SC,0/9,0.0,True,
2514,A. Gamarra,2023-08-18..2023-08-18,Al Ain,1,أليخاندرو غامارا,Kaku,2023-08-18..2026-08-29,Al Ain,54,,UAE,0.143,Al Ain,1/1,100.0,True,
2514,A. Romero,2023-08-26..2026-09-04,Al Ain,33,,Kaku,2023-08-18..2026-08-29,Al Ain,54,,UAE,0.154,Al Ain,25/32,78.1,True,
2514,K. Romero,2024-08-24..2024-10-06,Al Ain,4,,Kaku,2023-08-18..2026-08-29,Al Ain,54,,UAE,0.154,Al Ain,3/4,75.0,True,
88742,O. Barry,2025-02-08..2025-05-26,Al Okhdood,16,عثمان باري,Pato,2025-02-08..2025-05-26,Al Okhdood,16,باتو,SAU,0.167,Al Okhdood,16/16,100.0,False,
393210,A. Atef,2025-08-08..2026-05-20,Pyramids FC,22,,Otta,2026-08-27..2026-08-31,Pyramids FC,2,,EGY,0.182,Pyramids FC,0/2,0.0,False,
615210,D. Candido De Oliveira Filho,2026-04-05..2026-04-05,Al-Wasl FC,1,,Dimas,2026-04-05..2026-04-05,Al-Wasl FC,1,,UAE,0.182,Al-Wasl FC,1/1,100.0,True,
293742,G. Ibitham,2022-10-20..2023-07-14,Ghazl El Mehalla,34,,Gabriel Orok,2023-06-01..2023-06-01,Ghazl El Mehalla,1,,EGY,0.182,Ghazl El Mehalla,1/1,100.0,True,
26779,Gonçalo Rodrigues,2026-02-01..2026-05-14,Al Najma,12,غونسالو رودريغيش,Guga,2026-02-01..2026-05-14,Al Najma,18,جوجا,SAU,0.19,Al Najma,12/12,100.0,False,
182429,Ahmed Elkalamawy,2022-10-18..2026-09-09,"Al Ittihad, Masr",29,,Messi,2025-08-09..2026-09-01,Masr,27,,EGY,0.19,Masr,1/27,3.7,True,
310812,A. Mohammed,2025-08-17..2026-05-16,Al Wahda FC,23,علي محمد,Abdelaziz Al Balushi,2023-08-25..2025-05-25,Al Wahda FC,23,,UAE,0.194,Al Wahda FC,0/23,0.0,False,
621681,M. Atiq,2025-12-21..2026-01-29,Al-Jazira,6,,Mohammad Yousuf Ahmad,2026-01-17..2026-01-29,Al-Jazira,2,,UAE,0.214,Al-Jazira,2/2,100.0,True,
291128,A. Bakri,2026-08-22..2026-08-28,Al Sadd,2,,Abdulrahman Al Ameen,2024-08-10..2026-09-05,Al Sadd,19,,QAT,0.214,Al Sadd,0/2,0.0,False,
291128,A. Bakri,2026-08-22..2026-08-28,Al Sadd,2,,Abdulrahman Al-Ameen,2022-08-01..2023-04-01,Al Sadd,10,,QAT,0.214,Al Sadd,0/2,0.0,False,
424571,Eslam Risha,2023-06-30..2026-09-02,"Ceramica Cleopatra, El Gouna FC",15,,I. Emad,2026-08-23..2026-09-02,El Gouna FC,2,,EGY,0.222,El Gouna FC,1/2,50.0,True,
498397,Bencharki,2026-08-21..2026-08-31,National Bank of Egypt,3,,M. Ashraf,2025-08-10..2026-05-29,National Bank of Egypt,25,,EGY,0.222,National Bank of Egypt,0/3,0.0,False,
363216,Gonçalo Moura Oliveira,2026-09-06..2026-09-06,Al Wahda FC,2,,Guga,2024-11-01..2026-08-30,Al Wahda FC,67,جوجا,UAE,0.231,Al Wahda FC,0/1,0.0,False,
