player_id,form_a,period_a,club_a,n_a,ar_a,form_b,period_b,club_b,n_b,ar_b,leagues,similarity,shared_clubs,match_cooccur,cooccur_rate_pct,unique_pid_both_sides,decision
53894,Meme,2025-08-16..2026-05-16,Dibba Al-Fujairah,20,,Mohanad Ali,2022-08-02..2022-08-10,Al-Sailiya,2,مهند علي,"QAT, UAE",0.133,,0/2,0.0,False,
295633,Ahmed Amin,2023-06-01..2023-07-15,Enppi,5,,Oufa,2025-08-10..2026-08-31,National Bank of Egypt,31,,EGY,0.143,,0/5,0.0,False,
17096,Abdel Rahman Ramadan,2022-10-23..2025-03-05,Ceramica Cleopatra,65,,Body,2025-08-08..2026-04-19,Al Ittihad,16,,EGY,0.167,,0/16,0.0,True,
42305,S. E. Eisa,2026-05-08..2026-05-08,Al Kharaitiyat,1,,Saeed Alhaj,2022-08-02..2023-05-08,Al-Sailiya,12,,QAT,0.19,,0/1,0.0,True,
17143,A. Ramadan,2025-08-15..2026-05-20,Al Ahly,23,,Beckham,2026-08-28..2026-09-02,Ceramica Cleopatra,2,,EGY,0.235,,0/2,0.0,False,
428224,Ahmed Gomma,2023-07-26..2025-02-21,"Al Ahly, Future FC",30,,Kabaka,2025-08-09..2026-05-03,Masr,34,,EGY,0.235,,0/18,0.0,True,
283564,O. Fathy,2026-08-23..2026-09-01,Olympic El Qanah,2,,Ossama El Nagar,2024-05-11..2025-05-29,"El Mokawloon, Ghazl El Mehalla",24,,EGY,0.261,,0/2,0.0,True,
42036,B. Mamdouh,2025-08-14..2026-05-08,"Al Shahaniya, Al-Rayyan SC",21,,Bahaa Ellithi,2022-08-01..2025-04-18,"Al Ahli Doha, Al Sadd, Muaither SC",64,,QAT,0.261,,0/21,0.0,True,
17226,M. Dowidar,2025-08-10..2026-08-31,National Bank of Egypt,30,,Mostafa Adel,2022-10-19..2025-05-16,Enppi,68,,EGY,0.273,,0/30,0.0,True,
310083,M. Shehata,2026-08-21..2026-09-02,Abu Qair Semad,2,,Mostafa Abdelrahim,2024-12-01..2025-05-28,National Bank of Egypt,19,,EGY,0.286,,0/2,0.0,False,
17187,Karim Tarek,2022-10-20..2026-09-07,El Geish,154,,M. Shalaby,2025-08-10..2026-08-26,National Bank of Egypt,25,,EGY,0.286,,1/25,4.0,True,
384483,A. Nader,2026-01-22..2026-01-22,El Mokawloon,1,,Ahmed Hawash,2022-10-29..2026-09-09,Enppi,63,,EGY,0.3,,0/1,0.0,True,
42139,F. Younes,2025-08-14..2026-08-29,"Al-Duhail SC, Al-Sailiya",23,,Fahad Baker,2022-08-03..2025-04-18,Al-Rayyan SC,48,,QAT,0.3,,0/23,0.0,False,
282597,A. Reyed,2025-08-14..2026-08-28,Al Ahli Doha,19,,Ahmed Mawla,2024-08-09..2024-08-09,Al-Khor,1,,QAT,0.316,,0/1,0.0,True,
42035,R. Suhail,2025-08-15..2026-01-29,UMM Salal,13,,Rami Al Hamwende,2023-08-27..2025-04-18,Al-Arabi SC,39,,QAT,0.32,,0/13,0.0,False,
562540,Z. Osama,2025-09-20..2026-05-15,Al Nasr,18,,Zizo,2025-10-05..2026-09-01,Wadi Degla,26,,"EGY, UAE",0.333,,0/18,0.0,False,
437725,N. Oussama,2023-08-30..2024-06-14,Chabab Mohammédia,29,,O. Noureddine,2024-08-24..2025-05-25,Khorfakkan,22,,"MAR, UAE",0.348,,0/22,0.0,False,
326793,H. Behiratche,2023-02-14..2023-04-18,Al-Dhafra,5,,N. Hermann,2024-03-30..2024-04-07,Al-Jazira,2,,UAE,0.348,,0/2,0.0,True,
