old_name,keep_name,confidence,note
C. Ronaldo,Cristiano Ronaldo,مؤكد,نفس اللاعب — النصر (52 هدف بموسمين) [صُحِّح الاسم المعروض]
S. Al Dawsari,Salem Al Dawsari,مؤكد,سالم الدوسري — الهلال
O. Al Somah,Omar Al Somah,مؤكد,عمر السومة
M. Ali,Mohanad Ali,مرجح,مهند علي — الشرطة (احذر: Mujtaba Ali لاعب آخر)
M. Jawad,Mohammad Jawad,مؤكد,القوة الجوية [صُحِّح الاسم المعروض]
M. Hussein,Marwan Hussein,مؤكد,مروان حسين — نوروز
A. Al Dali,Alaa Al Dali,مؤكد,علاء الدالي — الموصل [صُحِّح الاسم المعروض]
A. Attwan,Amjad Attwan,مؤكد,أمجد عطوان [صُحِّح الاسم المعروض]
Amjed Attwan,Amjad Attwan,مؤكد,نفس اللاعب بإملاء مختلف [صُحِّح الاسم المعروض]
M. Al Mawas,Mahmoud Al Mawas,مؤكد,محمود المواس — الشرطة [صُحِّح الاسم المعروض]
A. Al-Ersan,A. Ersan,مؤكد,أحمد العرسان — الفيصلي
A. Al Salem,Abdullah Al Salem,مؤكد,عبدالله السالم
A. Saad,Alaa Saad,مؤكد,علاء سعد [صُحِّح الاسم المعروض]
I. Al Sabhi,Issam Al Sabhi,مؤكد,عصام الصبحي
R. Neves,Rúben Neves,مؤكد,روبن نيفيز — الهلال [صُحِّح الاسم المعروض]
F. Martins,Fábio Martins,مؤكد,فابيو مارتينز
M. Qasim,Mohammed Qasim,مؤكد,محمد قاسم
W. Ramadhan,Wakaa Ramadhan,مؤكد,وقاء رمضان [صُحِّح الاسم المعروض]
H. Khalaf,Husam Khalaf,مؤكد,حسام خلف [صُحِّح الاسم المعروض]
I. Ghazi,Ibrahim Ghazi,مؤكد,إبراهيم غازي [صُحِّح الاسم المعروض]
M. Al Juwayr,Musab Al Juwayr,مؤكد,مصعب الجوير — الهلال [صُحِّح الاسم المعروض]
M. Qabeel,Mustafa Qabeel,مؤكد,مصطفى قبيل [صُحِّح الاسم المعروض]
S. Kareem,Sherko Kareem,مؤكد,شيركو كريم [صُحِّح الاسم المعروض]
W. Kareem,Waleed Kareem,مؤكد,وليد كريم [صُحِّح الاسم المعروض]
P. Abdulla,Pashang Abdulla,مؤكد,باشنك عبدالله
S. Al Amri,Saleh Al Amri,مؤكد,صالح العمري
S. Mandash,Sultan Mandash,مؤكد,سلطان مندش [صُحِّح الاسم المعروض]
A. Maknzi,Ahmed Maknzi,مؤكد,أحمد مكنزي [صُحِّح الاسم المعروض]
L. Al Ani,Loay Al Ani,مؤكد,لؤي العاني
M. Mohammad,Murad Mohammad,مؤكد,مراد محمد [صُحِّح الاسم المعروض]
A. Yahya,Aiman Yahya,مؤكد,أيمن يحيى
B. Shakir,Bassam Shakir,مؤكد,بسام شاكر [صُحِّح الاسم المعروض]
H. Camara,Haroune Camara,مؤكد,هارون كامارا
H. Dakhel,Hasan Dakhel,مؤكد,حسن دخيل [صُحِّح الاسم المعروض]
M. Kanno,Mohamed Kanno,مؤكد,محمد كنو — الهلال [صُحِّح الاسم المعروض]
S. Al Shehri,Saleh Al Shehri,مؤكد,صالح الشهري
S. Ameer,Saad Abdul Ameer,مؤكد,سعد عبدالأمير
S. Yaseen,Sattar Yaseen,مؤكد,ستار ياسين [صُحِّح الاسم المعروض]
T. Al Ammar,Turki Al Ammar,مؤكد,تركي العمار
W. Al Ahmad,Waleed Al Ahmad,مؤكد,وليد الأحمد [صُحِّح الاسم المعروض]
A. Al Bulayhi,Ali Al Bulayhi,مؤكد,علي البليهي — الهلال [صُحِّح الاسم المعروض]
A. Faisal,Amouri Faisal,مؤكد,عموري فيصل [صُحِّح الاسم المعروض]
H. Al Hammami,Hammam Al Hammami,مؤكد,همام الحمامي
I. Bayesh,Ibrahim Bayesh,مؤكد,إبراهيم بايش
Mohammad Dawood,Mohammed Dawood,مؤكد,محمد داوود — إملاء مختلف
S. Al Rubaie,Saeed Al Rubaie,مؤكد,سعيد الربيعي [صُحِّح الاسم المعروض]
A. Al Othman,Abdulaziz Al Othman,مؤكد,عبدالعزيز العثمان
C. M. Kouvouama,C. Kouvouama,مؤكد,كوفواما [صُحِّح الاسم المعروض]
D. Pereira,Danilo Pereira,مؤكد,دانيلو بيريرا
F. Al Zubaidi,Fahad Al Zubaidi,مؤكد,فهد الزبيدي [صُحِّح الاسم المعروض]
M. Abdulraheem,Mohannad Abdulraheem,مؤكد,مهند عبدالرحيم
M. Al Shwirekh,Mohammed Al Shwirekh,مؤكد,محمد الشويرخ
R. Al Alawi,Rabia Al Alawi,مؤكد,ربيع العلوي
S. Jasim,Sajjad Jasim,مؤكد,سجاد جاسم
Y. Ghani,Younes Ghani,مؤكد,يونس غني [صُحِّح الاسم المعروض]
A. S. Al Aliwa,A. Al Aliwa,مؤكد,العليوة
H. Malek,Husam Malek,مؤكد,حسام مالك
M. Abu Al Shamat,Mohammed Abu Al Shamat,مؤكد,محمد أبو الشامات [صُحِّح الاسم المعروض]
M. Adnan,Mohammad Adnan,مؤكد,محمد عدنان
M. Al Shanqiti,Muhannad Al Shanqiti,مؤكد,مهند الشنقيطي [صُحِّح الاسم المعروض]
M. Mousa,Muslim Mousa,مؤكد,مسلم موسى
R. Hanoon,Ruslan Hanoon,مؤكد,رسلان حنون [صُحِّح الاسم المعروض]
S. Al Abbas,Saleh Al Abbas,مؤكد,صالح العباس
S. Hadi,Safaa Hadi,مؤكد,صفاء هادي [صُحِّح الاسم المعروض]
A. Khalil,Ali Khalil,مؤكد,علي خليل
A. Medran,Álvaro Medrán,مؤكد,ألفارو ميدران
A. Yas,Abbas Yas,مؤكد,عباس ياس [صُحِّح الاسم المعروض]
A. Yaseen,Ahmad Yaseen,مؤكد,أحمد ياسين
D. Al Anazi,Dhari Al Anazi,مؤكد,ضاري العنزي
J. Fernandes,Jorge Fernandes,مؤكد,خورخي فرنانديز [صُحِّح الاسم المعروض]
M. Al Qahtani,Mohammed Al Qahtani,مؤكد,محمد القحطاني
M. Jamal,Musab Jamal,مؤكد,مصعب جمال [صُحِّح الاسم المعروض]
M. Qasem,Mohammad Qasem,مؤكد,محمد قاسم [صُحِّح الاسم المعروض]
M. Sawan,Muhammad Sawan,مؤكد,محمد سوان [صُحِّح الاسم المعروض]
Morad Khodari,Mourad Khodari,مؤكد,مراد خضري — إملاء مختلف
N. A. Aziz,N. Abdou Aziz,مؤكد,عبدو عزيز [صُحِّح الاسم المعروض]
N. Asiri,Naif Asiri,مؤكد,نايف عسيري
R. Hajem,Reda Hajem,مؤكد,رضا حاجم
A. A. Hazazi,Ali Abdullah Hazazi,مؤكد,علي عبدالله حزازي [صُحِّح الاسم المعروض]
A. Al Anazi,Abdullah Al Anazi,مؤكد,عبدالله العنزي [صُحِّح الاسم المعروض]
A. Al Masoud,Ali Al Masoud,مؤكد,علي المسعود [صُحِّح الاسم المعروض]
B. Al Hurayji,Bassam Al Hurayji,مؤكد,بسام الحريجي [صُحِّح الاسم المعروض]
H. Al Zubaidi,Harwan Al Zubaidi,مؤكد,هروان الزبيدي [صُحِّح الاسم المعروض]
H. Jassem,Hussain Jassem,مؤكد,حسين جاسم [صُحِّح الاسم المعروض]
K. J. Mohammd,Karar Jasem Mohammd,مؤكد,كرار جاسم محمد [صُحِّح الاسم المعروض]
M. Al Hawsawi,Murad Al Hawsawi,مؤكد,مراد الهوساوي [صُحِّح الاسم المعروض]
M. Al Olayan,Madallah Al Olayan,مؤكد,مدلله العليان [صُحِّح الاسم المعروض]
M. Saleh,Mojtaba Saleh,مؤكد,مجتبى صالح [صُحِّح الاسم المعروض]
O. Rashid,Osama Rashid,مؤكد,أسامة رشيد [صُحِّح الاسم المعروض]
R. Fadel,Redha Fadel,مؤكد,رضا فاضل [صُحِّح الاسم المعروض]
R. Fariq,Rastgo Fariq,مؤكد,رستكو فاريق [صُحِّح الاسم المعروض]
