old_name,keep_name,confidence,note
Cristiano Ronaldo,C. Ronaldo,مؤكد,نفس اللاعب — النصر (52 هدف بموسمين)
S. Al Dawsari,Salem Al Dawsari,مؤكد,سالم الدوسري — الهلال
O. Al Somah,Omar Al Somah,مؤكد,عمر السومة
M. Ali,Mohanad Ali,مرجح,مهند علي — الشرطة (احذر: Mujtaba Ali لاعب آخر)
Mohammad Jawad,M. Jawad,مؤكد,القوة الجوية
M. Hussein,Marwan Hussein,مؤكد,مروان حسين — نوروز
Alaa Al Dali,A. Al Dali,مؤكد,علاء الدالي — الموصل
Amjad Attwan,A. Attwan,مؤكد,أمجد عطوان
Amjed Attwan,A. Attwan,مؤكد,نفس اللاعب بإملاء مختلف
Mahmoud Al Mawas,M. Al Mawas,مؤكد,محمود المواس — الشرطة
A. Al-Ersan,A. Ersan,مؤكد,أحمد العرسان — الفيصلي
A. Al Salem,Abdullah Al Salem,مؤكد,عبدالله السالم
Alaa Saad,A. Saad,مؤكد,علاء سعد
I. Al Sabhi,Issam Al Sabhi,مؤكد,عصام الصبحي
Rúben Neves,R. Neves,مؤكد,روبن نيفيز — الهلال
F. Martins,Fábio Martins,مؤكد,فابيو مارتينز
M. Qasim,Mohammed Qasim,مؤكد,محمد قاسم
Wakaa Ramadhan,W. Ramadhan,مؤكد,وقاء رمضان
Husam Khalaf,H. Khalaf,مؤكد,حسام خلف
Ibrahim Ghazi,I. Ghazi,مؤكد,إبراهيم غازي
Musab Al Juwayr,M. Al Juwayr,مؤكد,مصعب الجوير — الهلال
Mustafa Qabeel,M. Qabeel,مؤكد,مصطفى قبيل
Sherko Kareem,S. Kareem,مؤكد,شيركو كريم
Waleed Kareem,W. Kareem,مؤكد,وليد كريم
P. Abdulla,Pashang Abdulla,مؤكد,باشنك عبدالله
S. Al Amri,Saleh Al Amri,مؤكد,صالح العمري
Sultan Mandash,S. Mandash,مؤكد,سلطان مندش
Ahmed Maknzi,A. Maknzi,مؤكد,أحمد مكنزي
L. Al Ani,Loay Al Ani,مؤكد,لؤي العاني
Murad Mohammad,M. Mohammad,مؤكد,مراد محمد
A. Yahya,Aiman Yahya,مؤكد,أيمن يحيى
Bassam Shakir,B. Shakir,مؤكد,بسام شاكر
H. Camara,Haroune Camara,مؤكد,هارون كامارا
Hasan Dakhel,H. Dakhel,مؤكد,حسن دخيل
