priority,goals,league,team_ar,player_en,player_ar
A,87,SAU,النصر,C. Ronaldo,كريستيانو رونالدو
A,54,SAU,الأهلي,I. Toney,إيفان توني
A,54,SAU,القادسية,J. Quinones,خوليان كينيونيس
A,49,SAU,الاتحاد,K. Benzema,كريم بنزيما
A,47,IRQ,الشرطة,Mohanad Ali,مهند علي
A,45,SAU,الهلال,A. Mitrović,ألكسندر ميتروفيتش
A,42,IRQ,الشرطة,M. Al Mawas,
A,39,SAU,الفيحاء,F. Sakala,فاشون ساكالا
A,38,IRQ,الموصل,A. Al Dali,
A,38,IRQ,نوروز,Marwan Hussein,مروان حسين
A,37,SAU,الهلال,Salem Al Dawsari,سالم الدوسري
A,36,SAU,النصر,S. Mané,ساديو ماني
A,34,SAU,الاتفاق,G. Wijnaldum,جورجينيو فينالدوم
A,33,IRQ,القوة الجوية,M. Jawad,
A,32,SAU,الهلال,Malcom,مالكوم
A,30,IRQ,زاخو,A. Attwan,
A,30,SAU,الشباب,A. Hamed-Allah,عبد الرزاق حمد الله
A,30,SAU,الهلال,Marcos Leonardo,ماركوس ليوناردو
A,29,IRQ,الموصل,I. Ghazi,
A,28,IRQ,أربيل,S. Temirov,
A,27,IRQ,القوة الجوية,Aymen Hussein,أيمن حسين
A,27,IRQ,دهوك,P. Gwargis,
A,27,SAU,الشباب,Y. Carrasco,يانيك كاراسكو
A,25,IRQ,الزوراء,I. Gbadamosi,
A,23,SAU,التعاون,R. B. Martinez Tobinson,روجر مارتينيز
A,22,IRQ,الطلبة,S. Msuva,سيمون مسوفا
A,22,SAU,النصر,Talisca,أندرسون تاليسكا
A,21,SAU,الأهلي,Feras Al Brikan,فراس البريكان
A,21,SAU,النصر,Joao Felix,جواو فيليكس
A,21,IRQ,نفط ميسان,O. Afolabi,
A,21,SAU,الوحدة,O. Ighalo,أوديون إيغالو
A,20,IRQ,زاخو,Gustavo Henrique,جوستافو هنريكي
A,20,SAU,الخليج,J. King,جوشوا كينج
A,20,IRQ,الميناء,M. Qasem,
A,19,SAU,الاتفاق,M. Dembele,موسى ديمبيلي
A,19,JOR,الحسين,Sisa,
A,18,JOR,الفيصلي,A. Ersan,أحمد العرسان
A,18,IRQ,نفط ميسان,D. Gueye Dieme,
A,18,IRQ,الغراف,K. Kuku,
A,18,SAU,الهلال,R. Neves,روبن نيفيز
A,18,IRQ,القاسم,Saif Rashed Hameed,سيف راشد حميد
A,17,SAU,الخلود,M. Maolida,ميزيان مولايدا
A,17,SAU,القادسية,P. Aubameyang,بيير إيمريك أوباميانغ
A,16,JOR,الحسين,A. Al Haj,عارف الحاج
A,16,JOR,شباب الأردن,M. Abu Taha,
A,16,SAU,القادسية,M. Retegui,ماتيو ريتيجي
A,15,SAU,ضمك,G. Nkoudou,جورج كيفين نكودو
A,15,IRQ,الشرطة,Leonel Ateba,ليونيل أتيبا
A,14,IRQ,الكرخ,I. Eze,
A,14,JOR,الوحدات,M. Semreen,
A,14,IRQ,الكرمة,Mahmoud Khalil,محمود خليل
A,14,IRQ,الكرمة,Y. Oumarou,
A,13,IRQ,الزوراء,H. Abdulkareem,
A,13,IRQ,القاسم,Hareth Hatem,حارث حاتم
A,13,JOR,الحسين,R. Bani Hani,رزق بني هاني
A,12,JOR,الرمثا,H. Al Dardour,حمزة الدردور
A,12,JOR,الحسين,M. Al Mardi,
A,12,IRQ,الكهرباء,R. Ngah,
A,11,JOR,الوحدات,I. Sabra,
