player_en,player_ar,confidence,source
A. Al Shammari,عبد الرحمن الشمري,مؤكد,FilGoal — قائمة نادي الرياض الرسمية
Abdurahman Al Shammari,عبد الرحمن الشمري,مؤكد,FilGoal — قائمة نادي الرياض الرسمية
Abdurahman Al Shammeri,عبد الرحمن الشمري,مؤكد,FilGoal — قائمة نادي الرياض الرسمية
E. Fida,عماد الفدا,مؤكد,FilGoal — قائمة نادي الرياض الرسمية
Emad Fidaa,عماد الفدا,مؤكد,FilGoal — قائمة نادي الرياض الرسمية
M. Al Saeed,محمد السعيد,مؤكد,FilGoal — قائمة نادي الرياض الرسمية
S. Hazazi,سليمان هزازي,مؤكد,FilGoal — قائمة نادي الرياض الرسمية
Sulaiman Hahya Hazazi,سليمان هزازي,مؤكد,FilGoal — قائمة نادي الرياض الرسمية
Mohammed Al-Khaibari,محمد الخيبري,مؤكد,FilGoal — قائمة نادي الرياض الرسمية
M. H. Tambakti,مرزوق تمبكتي,مؤكد,FilGoal — قائمة نادي الرياض الرسمية
O. Al Boardi,أسامة البواردي,مؤكد,FilGoal — قائمة نادي الرياض الرسمية
A. Hassoun,عبدالله حسون,مؤكد,FilGoal — قائمة نادي الرياض الرسمية
Rodrigo Abascal,رودريجو أباسكال,مؤكد,FilGoal — قائمة نادي الرياض الرسمية
Sultan Alessa,سلطان العيسى,مؤكد,FilGoal — قائمة نادي الرياض الرسمية
N. Al Bishi,ناصر البيشي,مؤكد,FilGoal — قائمة نادي الرياض الرسمية
Nasser Al Bishi,ناصر البيشي,مؤكد,FilGoal — قائمة نادي الرياض الرسمية
Mahmoud Trézéguet,محمود تريزيجيه,مؤكد,FilGoal — قائمة نادي الرياض الرسمية
Y. Al Shehri,يحيى الشهري,مؤكد,FilGoal — قائمة نادي الرياض الرسمية
V. Lekhal,فيكتور لكحل,مؤكد,FilGoal — قائمة نادي الرياض الرسمية
Victor Lekhal,فيكتور لكحل,مؤكد,FilGoal — قائمة نادي الرياض الرسمية
S. Zaydan,سعود زيدان,مؤكد,FilGoal — قائمة نادي الرياض الرسمية
Fahad Al Jayzani,فهد الجيزاني,مؤكد,FilGoal — قائمة نادي الرياض الرسمية
M. Sahlouli,محمد صهلولي,مؤكد,FilGoal — قائمة نادي الرياض الرسمية
Teddy Okou,تيدي أوكو,مؤكد,FilGoal — قائمة نادي الرياض الرسمية
Leandro Antunes,لياندرو أنتونيس,مؤكد,FilGoal — قائمة نادي الرياض الرسمية
F. Al Sobhi,فيصل الصبحي,مؤكد,FilGoal — قائمة نادي الرياض الرسمية
Faisal Al-Sobhi,فيصل الصبحي,مؤكد,FilGoal — قائمة نادي الرياض الرسمية
T. Al Shubili,طلال الشبيلي,مؤكد,FilGoal — قائمة نادي الرياض الرسمية
Talal Al Shubili,طلال الشبيلي,مؤكد,FilGoal — قائمة نادي الرياض الرسمية
Hussain Al-Shurafa,حسين الشرفاء,مؤكد,FilGoal — قائمة نادي الرياض الرسمية
Hassan Hashim Al-Ali,حسن العلي,مؤكد,FilGoal — قائمة نادي الرياض الرسمية
R. Al Bloushi,ريان البلوشي,مؤكد,FilGoal — قائمة نادي الرياض الرسمية
Rayan Al Bloushi,ريان البلوشي,مؤكد,FilGoal — قائمة نادي الرياض الرسمية
L. Ramirez,لوكا راميريز,مؤكد,FilGoal — قائمة نادي الرياض الرسمية
H. Al Wutaian,حبيب الوطيان,مؤكد,FilGoal — قائمة نادي الفتح الرسمية
Waleed Al Anzi,وليد العنزي,مؤكد,FilGoal — قائمة نادي الفتح الرسمية
A. Al Swealem,عبدالعزيز السويلم,مؤكد,FilGoal — قائمة نادي الفتح الرسمية
A. Al-Suwailem,عبدالعزيز السويلم,مؤكد,FilGoal — قائمة نادي الفتح الرسمية
F. Darisi,فيصل دارسي,مؤكد,FilGoal — قائمة نادي الفتح الرسمية
H. Qasim,حسين قاسم,مؤكد,FilGoal — قائمة نادي الفتح الرسمية
Sattam Al Tumbukti,سطام تمبكتي,مؤكد,FilGoal — قائمة نادي الفتح الرسمية
Abdul Rahman Al Khaibari,عبد الرحمن الخيبري,مؤكد,FilGoal — قائمة نادي الفتح الرسمية
Kennedy Boateng,كينيدي بواتينج,مؤكد,FilGoal — قائمة نادي الفتح الرسمية
F. Al Hamad,فواز الحماد,مؤكد,FilGoal — قائمة نادي الفتح الرسمية
Robin Kelder,روبن كيلدر,مؤكد,FilGoal — قائمة نادي الفتح الرسمية
Zaydou Youssouf,زايودو يوسف,مؤكد,FilGoal — قائمة نادي الفتح الرسمية
Lukáš Haraslín,لوكاس هاراسلين,مؤكد,FilGoal — قائمة نادي الفتح الرسمية
A. Al Fawaz,عبد العزيز الفواز,مؤكد,FilGoal — قائمة نادي الفتح الرسمية
Abdulaziz Al Fawaz,عبد العزيز الفواز,مؤكد,FilGoal — قائمة نادي الفتح الرسمية
F. Al Abdulwahed,فيصل عبد الواحد,مؤكد,FilGoal — قائمة نادي الفتح الرسمية
M. Al Aboud,مهدي العبود,مؤكد,FilGoal — قائمة نادي الفتح الرسمية
Mehdi Al Aboud,مهدي العبود,مؤكد,FilGoal — قائمة نادي الفتح الرسمية
Mihai Lixandru,ميهاي ليكساندرو,مؤكد,FilGoal — قائمة نادي الفتح الرسمية
M. Al Sahihi,محمد السحيحي,مؤكد,FilGoal — قائمة نادي الفتح الرسمية
Jefferson Ramos,جيفرسون راموس,مؤكد,FilGoal — قائمة نادي الفتح الرسمية
Wilfried Kanga,ويلفريد كانجا,مؤكد,FilGoal — قائمة نادي الفتح الرسمية
Ali Al Masoud,علي المسعود,مؤكد,FilGoal — قائمة نادي الفتح الرسمية
S. Al Sharfa,سعد الشرفاء,مؤكد,FilGoal — قائمة نادي الفتح الرسمية
