league_code,team_id,team_ar,player_en,player_ar,goals
IRQ,11067,الطلبة,L. Al Ani,,2
IRQ,20464,كربلاء,M. Aws,,2
IRQ,11063,الحدود,S. Kurdistan,,2
IRQ,11065,الميناء,A. Abdulzahra,,1
IRQ,25061,ديالى,A. Mhaisen,,1
IRQ,11071,النفط,A. Sabry,,1
IRQ,11072,نفط الجنوب,A. Zeke Omwele,,1
IRQ,5242,الشرطة,Ahmed Yahia,,1
IRQ,5242,الشرطة,B. Shakir,,1
IRQ,20464,كربلاء,H. Hamza,,1
IRQ,11071,النفط,H. Khalaf,,1
IRQ,11067,الطلبة,H. Oueslati,,1
IRQ,11070,أربيل,Halo Faiq,,1
IRQ,11072,نفط الجنوب,Hasan Dakhel,,1
IRQ,15544,الكرخ,I. Eze,,1
IRQ,11072,نفط الجنوب,I. Ouro-Agoro,,1
IRQ,8010,الزوراء,Ibrahim,,1
IRQ,20463,دهوك,K. Darwiche,,1
IRQ,5242,الشرطة,L. Esquerdinha,,1
IRQ,11065,الميناء,M. Abdulrahim,,1
IRQ,25061,ديالى,M. Jaffal,,1
IRQ,8010,الزوراء,M. Mohammad,,1
IRQ,11070,أربيل,M. Qabeel,,1
IRQ,20464,كربلاء,M. Radhi,,1
IRQ,11063,الحدود,M. Saeed,,1
IRQ,20464,كربلاء,M. Talib,,1
IRQ,5242,الشرطة,Mahmoud Al Mawas,,1
IRQ,5242,الشرطة,Mohammed Dawood,,1
IRQ,5242,الشرطة,Mohanad Ali,,1
IRQ,8010,الزوراء,Murad Mohammad,,1
IRQ,15544,الكرخ,Musab Jamal,,1
IRQ,11063,الحدود,S. Abd-Ridha,,1
IRQ,11071,النفط,S. Hien,,1
IRQ,11065,الميناء,T. Kisinda,,1
IRQ,11071,النفط,W. Kareem,,1
IRQ,25063,الكرمة,Y. Oumarou,,1
JOR,4537,الوحدات,Cesar,,3
JOR,17467,مغير السرحان,A. Al Harahshe,,2
JOR,4532,الحسين,R. Bani Hani,,2
JOR,4532,الحسين,Sisa,,2
JOR,4538,العقبة,A. Al Hussein,,1
JOR,4537,الوحدات,D. Afaneh,,1
JOR,4537,الوحدات,I. Sabra,,1
JOR,10121,معان,K. Al Haj,,1
JOR,4531,الفيصلي,K. Zakaria,,1
JOR,4531,الفيصلي,M. Abu Amara,,1
JOR,4535,السلط,M. Aburiziq,,1
JOR,4532,الحسين,M. Al Attar,,1
JOR,4537,الوحدات,M. Semreen,,1
JOR,4538,العقبة,Q. Al Ajalin,,1
JOR,4532,الحسين,Sharara,,1
JOR,4539,شباب الأردن,W. Al Barri,,1
JOR,4538,العقبة,Y. Shaukat,,1
SAU,2932,الهلال,A. Mitrović,,2
SAU,2939,النصر,Cristiano Ronaldo,,2
SAU,2928,الخليج,K. Fortounis,,2
SAU,2938,الاتحاد,M. Diaby,,2
SAU,2933,القادسية,P. Aubameyang,,2
SAU,2931,الفتح,S. Bendebka,,2
SAU,2938,الاتحاد,S. Bergwijn,,2
SAU,10509,الخلود,A. Dieng,,1
SAU,2937,الوحدة,Abdulaziz Noor,,1
SAU,2936,التعاون,Abdulfattah Adam,,1
SAU,2938,الاتحاد,Abdulrahman Al Obud,,1
SAU,2940,الشباب,C. Guanca,,1
SAU,2938,الاتحاد,Danilo Pereira,,1
SAU,10511,الرياض,E. Sali,,1
SAU,2944,الفيحاء,F. Sakala,,1
SAU,10511,الرياض,F. Selemani,,1
SAU,2929,الأهلي,Feras Al Brikan,,1
SAU,10509,الخلود,Hammam Al Hammami,,1
SAU,2936,التعاون,Hatan Bahbri,,1
SAU,2961,العروبة,I. Kandouss,,1
SAU,2929,الأهلي,I. Toney,,1
SAU,2939,النصر,J. Durán,,1
SAU,2933,القادسية,J. Quiñones,,1
SAU,2936,التعاون,M. Barrow,,1
SAU,2931,الفتح,M. Batna,,1
SAU,10509,الخلود,M. Dams,,1
SAU,2932,الهلال,Nasser Al Dawsari,,1
SAU,2935,الرائد,O. Gonzalez,,1
SAU,2961,العروبة,Omar Al Somah,,1
SAU,2939,النصر,Otávio,,1
SAU,2944,الفيحاء,R. López,,1
SAU,2929,الأهلي,R. Mahrez,,1
SAU,2936,التعاون,R. Martínez,,1
SAU,2977,الأخدود,S. Godwin,,1
SAU,2932,الهلال,S. Milinković-Savić,,1
SAU,2932,الهلال,Salem Al Dawsari,,1
SAU,2929,الأهلي,Sumayhan Al Nabit,,1
SAU,2940,الشباب,Y. Carrasco,,1
