priority,league,team_ar,goals_or_apps,player_en,player_ar
D,SAU,أبها,1,A. Al Bouq,
D,SAU,أبها,1,A. Al Fahad,
D,SAU,أبها,30,A. Darisi,
D,SAU,أبها,1,A. Gory,
D,SAU,أبها,34,A. Hindi,
D,SAU,أبها,28,Abdulelah Al Shammry,
D,SAU,أبها,2,Abdulrahman Al Alawi,
D,SAU,أبها,23,Abdulrahman Al Bouq,
D,SAU,أبها,15,Ahmad Jamal,
D,SAU,أبها,1,B. Al Mutairi,
D,SAU,أبها,34,B. Al Sayyali,
D,SAU,أبها,33,C. Tătărușanu,
D,SAU,أبها,1,D. Epassy,
D,SAU,أبها,1,D. Leon,
D,SAU,أبها,25,F. Al Subiani,
D,SAU,أبها,6,Hassan Al Qayed,
D,SAU,أبها,1,J. Gaari,
D,SAU,أبها,7,K. Al Qahtani,
D,SAU,أبها,1,K. Boumedmed,
D,SAU,أبها,8,L. Đorđević,
D,SAU,أبها,8,M. Al-Zaid,
D,SAU,أبها,1,Mansour Johar,
D,SAU,أبها,22,Meshal Al Mutairi,
D,SAU,أبها,18,Mohammed Al Oufi,
D,SAU,أبها,1,N. Al Daajani,
D,SAU,أبها,1,N. Fekir,
D,SAU,أبها,9,Nasser Al Omran,
D,SAU,أبها,1,S. Al Johani,
D,SAU,أبها,29,Saad Al Salouli,
D,SAU,أبها,5,Saad Natiq,
D,SAU,أبها,4,Suad Natiq,
D,SAU,أبها,6,Sulaiman Asiri,
D,SAU,أبها,31,U. Matić,
D,SAU,أبها,2,Waseem Al Shehri,
D,SAU,أبها,2,Yousef Al Aqil,
D,SAU,الأخدود,24,Abdulrahman Al Rio,
D,SAU,الأخدود,2,Ahmed Al Daghrir,
D,SAU,الأخدود,18,Ahmed Mostafa,
D,SAU,الأخدود,11,Diego Ferreira,
D,SAU,الأخدود,7,H. Al Juhani,
D,SAU,الأخدود,29,H. Al Zabdani,
D,SAU,الأخدود,9,Hussain Al Shai'an,
D,SAU,الأخدود,11,I. Ashi,
D,SAU,الأخدود,15,K. Al Lazam,
D,SAU,الأخدود,3,Karim Ashraf,
D,SAU,الأخدود,30,M. Abu Abd,
D,SAU,الأخدود,30,M. Al Jahif,
D,SAU,الأخدود,32,M. Al Qaydhi,
D,SAU,الأخدود,2,M. Al-Qahtani,
D,SAU,الأخدود,20,M. Borrell,
D,SAU,الأخدود,19,M. Fagihy,
D,SAU,الأخدود,42,R. Al Najjar,
D,SAU,الأخدود,5,Rayan Hattan,
D,SAU,الأخدود,19,S. Al Harthi,
D,SAU,الأخدود,1,S. Al Qarni,
D,SAU,الأخدود,4,S. Balhareth,
D,SAU,الأخدود,2,S. Kverkvelia,
D,SAU,الأخدود,10,S. M. Al Harthi,
D,SAU,الأخدود,26,S. Salem,
D,SAU,الأخدود,6,Saad Al Qarni,
D,SAU,الأخدود,29,Saeed Al Rubaie,
D,SAU,الأخدود,2,Saif Balhareth,
D,SAU,الأخدود,49,Saleh Al Harthi,
D,SAU,الأخدود,29,Samuel Portugal,
D,SAU,الأخدود,13,Sharaf Al Salim,
D,SAU,الأخدود,2,Sharafi Al Saleem,
D,SAU,الأخدود,7,Y. Neyou,
D,SAU,الأهلي,19,A. Abdo,
D,SAU,الأهلي,35,A. Al Sanbi,
D,SAU,الأهلي,19,Abdullah Abdo,
D,SAU,الأهلي,3,Abdullah Otayf,
D,SAU,الأهلي,3,Adnan Al Bishri,
D,SAU,الأهلي,1,Ahmed Al Nakhli,
D,SAU,الأهلي,13,Alexsander,
D,SAU,الأهلي,2,Bandar Al Shamrani,
D,SAU,الأهلي,23,Bassam Al Hurayji,
D,SAU,الأهلي,31,E. Al Muwallad,
D,SAU,الأهلي,4,E. Alioski,
D,SAU,الأهلي,26,E. Mendy,
D,SAU,الأهلي,1,I. Azzam,
D,SAU,الأهلي,33,M. Abdulrahman,
D,SAU,الأهلي,1,M. Al Mutairi,
D,SAU,الأهلي,32,M. Sulaiman,
D,SAU,الأهلي,42,Mohammed Al Majhad,
D,SAU,الأهلي,4,R. Al Attar,
D,SAU,الأهلي,2,R. Boudebouz,
D,SAU,الأهلي,10,Rayan Hamidou,
D,SAU,الأهلي,4,Ricardo Mathias,
D,SAU,الأهلي,8,S. Abdullah,
D,SAU,الأهلي,4,S. Al Jadany,
D,SAU,الأهلي,1,Trincao,
D,SAU,الأهلي,7,Y. Al Zubaidi,
D,SAU,الأهلي,19,Y. Madani,
D,SAU,الأهلي,32,Z. Al Johani,
D,SAU,الاتحاد,27,A. Al Julaydan,
D,SAU,الاتحاد,9,A. M. Yousef H.,
D,SAU,الاتحاد,23,A. Sharahili,
D,SAU,الاتحاد,40,Abdulaziz Al Bishi,
D,SAU,الاتحاد,4,Abdullah Al Jadani,
D,SAU,الاتحاد,1,Ahmed Al-Julaydan,
D,SAU,الاتحاد,37,Awad Al Nashri,
D,SAU,الاتحاد,1,Dion Lopy,
D,SAU,الاتحاد,1,Farhah Ali Alshamrani,
D,SAU,الاتحاد,2,G. Ilenikhena,
D,SAU,الاتحاد,11,Hamed Al Shanqiti,
D,SAU,الاتحاد,8,J. Simic,
D,SAU,الاتحاد,19,Luiz Felipe,
D,SAU,الاتحاد,30,M. Al Absi,
D,SAU,الاتحاد,26,M. Barnawi,
D,SAU,الاتحاد,22,M. Fallatah,
D,SAU,الاتحاد,20,Madallah Al Olayan,
D,SAU,الاتحاد,1,Marwan Al-Sahafi,
D,SAU,الاتحاد,49,Mohammed Al Mahasnah,
D,SAU,الاتحاد,1,Mohammed Al-Absi,
D,SAU,الاتحاد,13,Mohammed Fallatah,
D,SAU,الاتحاد,29,Muath Fagihy,
D,SAU,الاتحاد,21,Muhannad Al Shanqiti,
D,SAU,الاتحاد,1,Nawaf Al Jadaani,
D,SAU,الاتحاد,8,O. Al Mermesh,
D,SAU,الاتحاد,13,Osama Al Mermesh,
D,SAU,الاتحاد,30,P. Rajkovic,
D,SAU,الاتحاد,28,P. Rajković,
D,SAU,الاتحاد,7,S. Al Mousa,
D,SAU,الاتحاد,4,Salem Ayyash,
D,SAU,الاتحاد,1,Stephane Keller,
D,SAU,الاتحاد,5,Sultan Al Farhan,
D,SAU,الاتحاد,9,Suwailem Al Menhali,
D,SAU,الاتحاد,11,T. Haji,
D,SAU,الاتحاد,14,Turki Al Jaadi,
D,SAU,الاتحاد,3,Y. Al Jaber,
D,SAU,الاتحاد,1,Yaseen Khalid,
D,SAU,الاتحاد,1,Youssef En-Nesyri,
D,SAU,الاتفاق,31,A. A. Khateeb,
D,SAU,الاتفاق,1,A. Al Ruhaili,
D,SAU,الاتفاق,17,A. Dahal,
D,SAU,الاتفاق,31,A. Madu,
D,SAU,الاتفاق,6,A. Maghfori,
D,SAU,الاتفاق,1,A. Sahhari,
D,SAU,الاتفاق,10,Abdullah Al Bishi,
D,SAU,الاتفاق,9,Abdullah Al Owayshir,
D,SAU,الاتفاق,5,Abdullah Khalifa,
D,SAU,الاتفاق,1,Abdulmuhsen Aldosary,
D,SAU,الاتفاق,2,Abdulrahman Sahhari,
D,SAU,الاتفاق,28,Ali Abdullah Hazzazi,
D,SAU,الاتفاق,1,Ali Al-Essa,
D,SAU,الاتفاق,1,B. Al Dawaa,
D,SAU,الاتفاق,5,B. Özdemir,
D,SAU,الاتفاق,1,Bersant Celina,
D,SAU,الاتفاق,2,Faris Al Ghamdi,
D,SAU,الاتفاق,6,H. Al Musallam,
D,SAU,الاتفاق,15,Hawswi,
D,SAU,الاتفاق,18,J. Costa,
D,SAU,الاتفاق,12,J. Escobar,
D,SAU,الاتفاق,17,J. Henderson,
D,SAU,الاتفاق,2,Jaber Qarradi,
D,SAU,الاتفاق,24,Jalal Al Salem,
D,SAU,الاتفاق,1,Khalid Al-Ghannam,
D,SAU,الاتفاق,22,M. Al Sibyani,
D,SAU,الاتفاق,7,M. Gluscevic,
D,SAU,الاتفاق,34,M. Rodak,
D,SAU,الاتفاق,34,M. Rodák,
D,SAU,الاتفاق,1,Madallah Al-Olayan,
D,SAU,الاتفاق,58,Marwan Al Haidari,
D,SAU,الاتفاق,1,Matija Glušćević,
D,SAU,الاتفاق,1,Meshal Ali Khayrallah,
D,SAU,الاتفاق,24,Meshal Sibyani,
D,SAU,الاتفاق,25,Mohammed Al Dosari,
D,SAU,الاتفاق,5,Mohammed Al Kadi,
D,SAU,الاتفاق,18,Muhannad Al Saad,
D,SAU,الاتفاق,3,N. Abdulrahman,
D,SAU,الاتفاق,27,O. Duda,
D,SAU,الاتفاق,1,Ondrej Duda,
D,SAU,الاتفاق,25,R. Al Otaibi,
D,SAU,الاتفاق,61,Radhi Al Otaibi,
D,SAU,الاتفاق,1,Rayane Messi,
D,SAU,الاتفاق,2,T. Al Madani,
D,SAU,الاتفاق,4,T. Baljosh,
D,SAU,الاتفاق,2,Turki Al Madani,
D,SAU,الاتفاق,4,Turki Ba Al Jawsh,
D,SAU,الاتفاق,1,Turki Ba Al-Jawsh,
D,SAU,الاتفاق,1,Yasir Shammari,
D,SAU,الاتفاق,29,Z. Al Ghamdi,
D,SAU,التعاون,4,A. Al Marwani,
D,SAU,التعاون,2,A. Al Senaid,
D,SAU,التعاون,34,A. Atiah,
D,SAU,التعاون,34,A. Bahusayn,
D,SAU,التعاون,46,A. Hawsawi,
D,SAU,التعاون,14,Abdul Rahman Al Ghamdi,
D,SAU,التعاون,7,Abdulrahman Al Senaid,
D,SAU,التعاون,1,Abdulrahman Al-Ghamdi,
D,SAU,التعاون,1,Adeeb Al Hassan,
D,SAU,التعاون,1,Ali Al Sakakir,
D,SAU,التعاون,1,Ali Sharahili,
D,SAU,التعاون,7,Anas Al Ghamdi,
D,SAU,التعاون,1,Awn Al-Saluli,
D,SAU,التعاون,1,Bassam Al-Hurayji,
D,SAU,التعاون,1,Bassem Al-Arini,
D,SAU,التعاون,1,F. Al Jumaiya,
D,SAU,التعاون,26,F. Al Rashidi,
D,SAU,التعاون,1,Fahad Al-Rashidi,
D,SAU,التعاون,26,Flavio,
D,SAU,التعاون,1,Hassan Rabea,
D,SAU,التعاون,2,I. Al Shuayl,
D,SAU,التعاون,1,Ibrahim Al Hazmi,
D,SAU,التعاون,13,Ibrahim Al Shuail,
D,SAU,التعاون,9,Ibrahim Al Shuayl,
D,SAU,التعاون,12,Iyad Madani,
D,SAU,التعاون,1,K. Al Karani,
D,SAU,التعاون,31,M. Al Alaeli,
D,SAU,التعاون,26,M. Al Mufarrij,
D,SAU,التعاون,1,M. Al Nuqaydan,
D,SAU,التعاون,14,M. Sembene,
D,SAU,التعاون,1,Marin Petkov,
D,SAU,التعاون,11,Mohammed Al Dhulayfi,
D,SAU,التعاون,1,Mohammed Al Nuqaydan,
D,SAU,التعاون,1,Mohammed Al Saedi,
D,SAU,التعاون,7,Mohammed Aldhulayfi,
D,SAU,التعاون,11,Mohammed Baker,
D,SAU,التعاون,1,N. Al Hawairy,
D,SAU,التعاون,11,Nawaf Al Rashwodi,
D,SAU,التعاون,1,Nawaf Mazen Al Hawairy,
D,SAU,التعاون,1,Nedim Bajrami,
D,SAU,التعاون,4,R. Fourig,
D,SAU,التعاون,4,Rakan Al Tulayhi,
D,SAU,التعاون,1,Rakan Al-Tulayhi,
D,SAU,التعاون,9,Rayan Al Johani,
D,SAU,التعاون,28,S. Rajab,
D,SAU,التعاون,1,Saif Rashad Mohamed,
D,SAU,التعاون,4,Saleh Abu Al Shamat,
D,SAU,التعاون,4,T. Al Shaifan,
D,SAU,التعاون,4,Turki Al Shaifan,
D,SAU,التعاون,18,Victor Hugo,
D,SAU,التعاون,1,Younes El Bahraoui,
D,SAU,التعاون,1,Zineddine Belaid,
D,SAU,التعاون,2,Ziyad Al Refaei,
D,SAU,الحزم,19,A. Al Harajin,
D,SAU,الحزم,31,A. Al Harbi,
D,SAU,الحزم,1,A. Al Hujaili,
D,SAU,الحزم,22,A. Al Khaibary,
D,SAU,الحزم,4,A. Awaji,
D,SAU,الحزم,8,A. Bamba Dieng,
D,SAU,الحزم,17,A. Boutouil,
D,SAU,الحزم,19,Abdulrahman Al Dakheel,
D,SAU,الحزم,14,Ammar Al Najjar,
D,SAU,الحزم,14,Azzam Al Salman,
D,SAU,الحزم,1,B. Mugisha,
D,SAU,الحزم,12,B. Traoré,
D,SAU,الحزم,20,B. Varela,
D,SAU,الحزم,27,Basil Al Sayyali,
D,SAU,الحزم,1,F. Al Azzmi,
D,SAU,الحزم,1,F. Hausawi,
D,SAU,الحزم,5,Fahad Al Obaid,
D,SAU,الحزم,8,Farhan Al Aazmi,
D,SAU,الحزم,2,Farhan Al Azmi,
D,SAU,الحزم,14,Farhan Al Azzmi,
D,SAU,الحزم,2,H. Idris,
D,SAU,الحزم,2,Hassan Idris,
D,SAU,الحزم,34,I. Zaied,
D,SAU,الحزم,32,Ibrahim Zaid,
D,SAU,الحزم,15,J. Moreno,
D,SAU,الحزم,10,Khalil Al Absi,
D,SAU,الحزم,15,M. Al Ghamdi,
D,SAU,الحزم,1,M. Al Hamdani,
D,SAU,الحزم,2,M. Al Saedi,
D,SAU,الحزم,1,M. Ben Hamida,
D,SAU,الحزم,21,M. Carvalho,
D,SAU,الحزم,20,Mohammed Abusabaan,
D,SAU,الحزم,2,Mohammed Al Shaeri,
D,SAU,الحزم,3,N. Al Bashri,
D,SAU,الحزم,1,Nawaf Al Bishri,
D,SAU,الحزم,17,Rayan Al Mousa,
D,SAU,الحزم,2,Rayan Al Sharekh,
D,SAU,الحزم,28,S. Al Rashid,
D,SAU,الحزم,1,S. Tunkar,
D,SAU,الحزم,3,Sultan Al Essa,
D,SAU,الحزم,2,Sultan Tanker,
D,SAU,الحزم,1,T. Muhaddili,
D,SAU,الحزم,27,Talal Al Absi,
D,SAU,الحزم,1,Talal Al-Absi,
D,SAU,الحزم,1,W. Al Shanqiti,
D,SAU,الحزم,2,Y. Al Ruwaili,
