batch,rank,player_en,team_ar,appearances,player_ids,user_translation_if_any
1,1,S. Sidibe,الوصل,133,384799;410429;568532,سفيان سيديبي
1,2,M. Hamdi,حرس الحدود,132,16970;17081;353348;550397;550412;579337;595068,محمود حمدي
1,3,A. Assal,نهضة بركان,131,129923;294701,أمين عسال
1,4,Hamad Mansour,الشمال,121,42386;534008,حمد منصور
1,5,Mohamed Dabash,المصري,117,16944;546292,محمد دبش
1,6,A. Gamal,زد,117,16957;269557;377048;399276;550466,أحمد جمال
1,8,Mohamed El Sayed,الزمالك,104,294367;472952;546948,محمد السيد
1,9,Ahmed Tarek,زد,104,282785;525899,أحمد طارق
1,14,M. Ibrahim,البنك الأهلي,103,16868;296650;498005,محمد إبراهيم
1,15,M. Awad,حرس الحدود,103,42157;44474;272893;483939;628389,محمود عوض
1,26,Mohamed Tarek,الزمالك,102,342746;355404,محمد طارق
1,27,Ahmed Zaki,زد,102,342788;506688,أحمد زكي
1,30,Hamdan Abdulrahman,الجزيرة الإماراتي,102,50301;197572,حمدان عبد الرحمن
1,32,Rikelme,شباب الأهلي,102,304824;579529,ريكيلمي
1,34,M. Ashraf,حرس الحدود,101,354224;426513;498397;550415;560727;588694,محمد أشرف
1,42,Y. Ben Khaleq,الفتح,101,402890;579565,يوسف بن خالق
1,63,Mohammed Abdulla Al-Ishaq,الأهلي,99,338519;534007,محمد عبد الله إسحاق
1,65,P. Pavlov,خورفكان,99,196227;579363,بافيل بافلوف
1,67,M. Sherif,الأهلي المصري,98,16820;296049;510583;533842,محمد شريف
1,69,Ahmed Fouad,فاركو,98,401510;465902,أحمد فؤاد
1,70,H. Hassan,مودرن سبورت,98,17083;457070;628524,حسام حسن
1,76,Y. Annor,البنك الأهلي,97,119966;546541,ياو أنور
1,80,Y. El Fahli,الجيش الملكي,97,36625;335776,يوسف الفحلي
1,94,A. Hmaidou,الشباب السالمي,96,199350;535234,أيوب حميدو
1,111,M. Hany,طلائع الجيش,95,2654;355010;550436;676569,محمد هاني
1,113,A. Tine,نهضة الزمامرة,95,294294;535294,أليون تين
1,117,A. Al Hosani,عجمان,95,50248;579360;579603;579637,علي الحوسني
1,118,I. Faiz,عجمان,95,71396;522106;542773,عصام فايز
1,124,R. Ahmed,الداخلية,94,297180;315814,رشيد أحمد
1,138,E. El Bellali,اتحاد طنجة,93,36610;535157,عصام البلالي
1,141,Khalid Al Baloushi,العين,93,44058;140543,خالد البلوشي
1,155,Mohamed Emad,الجونة,91,440196;482335,محمد عماد
1,157,Islam Abou-Salima,حرس الحدود,91,16886;550394,إسلام أبو سليمة
1,179,Y. Jabrane,أولمبيك الدشيرة,90,36544;568695,يحيى جبران
1,184,Y. Dalouzi,شباب المحمدية,90,424540;535218,يوسف الدلوزي
1,190,Mostafa Gamal,حرس الحدود,89,17273;550380,مصطفى جمال
1,200,A. El Said,الزمالك,88,16838;383614;550411,عبد الله السعيد
2,202,Mohamed Fawzi,حرس الحدود,88,16972;395078,محمد فوزي
2,203,A. Atef,زد,88,196832;393210;610463,أحمد عاطف
2,215,Ahmed Ayman,الاتحاد السكندري,87,16975;17327;640516,أحمد أيمن
2,229,Al Hassan Saleh,الشارقة,87,50263;50487,الحسن صالح
2,232,T. Mohamed,الأهلي المصري,86,16937;493330;498004,طاهر محمد طاهر
2,242,A. El Hamzaoui,يوسفية برشيد,86,437204;535222,أمين الحمزاوي
2,246,Soufiane Bouftini,الوصل,86,36609;568534,سفيان بوفتيني
2,253,Mohamed Alaa,الجونة,85,498250;676570,محمد علاء
2,260,R. Akonnor,الجزيرة الإماراتي,85,401646;579542,ريتشارد أكونور
2,281,Mohamed Essam,سموحة,83,108463;395532,محمد عصام
2,287,Yazan Naim,الأهلي,83,42171;542545,يزن نعيم
2,290,A. Mohamed,السيلية,83,182424;269278;384484;410133;534120;631657,أحمد محمد
2,291,Mohamed Abdallah,الشحانية,83,268409;428225;546978,محمد عبد الله
2,293,Simo,العربي,83,349397;534036,سيمو
2,303,Ahmed Yasser,البنك الأهلي,82,16907;42064;629409,أحمد ياسر
2,306,H. Ibrahim,الجونة,82,273044;408358;639374,حسام إبراهيم
2,311,H. Malki,الدفاع الحسني,82,437543;535289,حمزة المالكي
2,312,Y. Limouri,الشباب السالمي,82,144881;535291,يونس ليموري
2,325,A. Hamza,المغرب الفاسي,81,336148;353157,أسامة حمزة
