priority,goals,league,team_ar,player_en,player_ar,player_id,team_id
F1,105,,سموحة,Mostafa El-Badry,مصطفى البدري,16810,
F1,104,,النادي المكناسي,M. Radouani,مهدي رضواني,294767,
F1,104,,اتحاد كلباء,Waleed Al Mahrezi,وليد المحرزي,283327,
F1,104,,الوحدة الإماراتي,Rashid Ali,راشد علي,50367,
F1,104,,عجمان,Mohammad Nasser,محمد ناصر,434016,
F1,103,,طلائع الجيش,Abdel Rahman Osama,عبد الرحمن أسامة,270352,
F1,103,,طلائع الجيش,G. Okwara,جودوين أوكوارا,292994,
F1,103,,النادي المكناسي,B. El Idrissi Bouzidi,بدر الإدريسي بوزيدي,435557,
F1,103,,الوداد,O. Zemraoui,أسامة الزمراوي,294299,
F1,103,,الريان,Y. Boli,يوهان بولي,8513,
F1,103,,السد,Paulo Otávio,باولو أتافيو,25208,
F1,103,,الشمال,M. Nani,مورو ناني,6571,
F1,103,,شباب الأهلي,Breno Cascardo,برينو كاسكاردو,406957,
F1,102,,الأهلي المصري,Mohamed Abdelmonem,محمد عبد المنعم,196343,
F1,102,,البنك الأهلي,Assem Salah,عاصم صلاح,17165,
F1,102,,سيراميكا كليوباترا,Fagrie Lakay,فخري لاكاي,46258,
F1,102,,أم صلال,O. Tannane,أسامة طنان,37191,
F1,102,,النصر الإماراتي,A. Toure,ألساني توريه,407810,
F1,101,,الزمالك,Sayed Abdallah Sika,سيد عبد الله سيكا,342789,
F1,101,,زد,Ahmed El-Saghiri,أحمد الصغيري,147940,
F1,101,,سموحة,Mohamed Metwaly Canaria,محمد متولي كناريا,17073,
F1,101,,فاركو,Mohamed Saeed Shika,محمد سعيد شيكا,16876,
F1,101,,مودرن سبورت,Arnold Eba,أرنولد إيبا,237158,
F1,101,,أولمبيك آسفي,B. El Bahraoui,براهيم البحراوي,36704,
F1,101,,أولمبيك آسفي,S. Errahouli,صلاح الدين الراحولي,296299,
F1,101,,الجيش الملكي,A. Bach,أنس باش,146769,
F1,101,,قطر,B. Benoun,بدر بانون,36556,
F1,101,,العروبة الإماراتي,Abdulla Anwar,عبد الله أنور,50394,
F1,101,,النصر الإماراتي,Moussa Ndiaye,موسى ندياي,374055,
F1,100,,الأهلي المصري,Karim Fouad,كريم فؤاد,17331,
F1,100,,الاتحاد السكندري,Sobhy Soliman,صبحي سليمان,301698,
F1,100,,الزمالك,Naser Mansi,ناصر منسي,16848,
F1,100,,بلدية المحلة,Maged Hany,ماجد هاني,355010,
F1,100,,منتخب السويس بتروجت,Mohamed Okasha,محمد عكاشة,339658,
F1,100,,مودرن سبورت,Ali El Fil,علي الفيل,17163,
F1,100,,الدفاع الحسني,Y. Arbidi,يوسف العربيدي,152477,
F1,100,,الخور,Abdalaziz Al Hasia,عبد العزيز الحصية,68447,
F1,100,,قطر,R. Danzabe,راؤول دانزابي,406125,
F1,100,,النصر الإماراتي,C. Doumbia,شيخ دومبيا,354929,
F1,100,,الوصل,G. Poblete,خيرونيمو بوبليتي,6623,
F1,100,,شباب الأهلي,Mohammed Marzooq,محمد مرزوق,50290,
F1,100,,شباب الأهلي,Walid Abbas,وليد عباس,50288,
F1,99,,الجونة,Mazen Yasser,مازن ياسر,454718,
F1,99,,زد,Mostafa Ziko,مصطفى زيكو,395075,
F1,99,,غزل المحلة,Yehia Zakaria,يحيى زكريا,289407,
F1,99,,اتحاد طنجة,H. El Bahja,حمزة البهجة,146828,
F1,99,,العربي,Y. Msakni,يوسف المساكني,2964,
F1,99,,شباب الأهلي,Kauan Santos,كوان سانتوس,415073,
F1,98,,البنك الأهلي,Mohamed Abou Gabal,محمد أبو جبل,2647,
F1,98,,اتحاد طنجة,A. Lamrabat,أنس المرابط,146787,
F1,98,,الرجاء,M. Boulacsout,محمد بولكسوت,294296,
F1,98,,الفتح,A. Serrhat,أمين سارحات,156748,
F1,98,,الوداد,M. Moufid,محمد مفيد,269451,
F1,98,,الوكرة,Moayed Hassan,مؤيد حسن,42313,
F1,97,,البنك الأهلي,Mahmoud El-Gazzar,محمود الجزار,17026,
F1,97,,الشرقية إنبي,Ahmed Kalosha,أحمد كالوشا,391896,
