rank,player_en,team_ar,appearances,player_id_count,player_ids,safe_to_write
1,S. Sidibe,الوصل,133,3,384799;410429;568532,NO - COLLISION
2,M. Hamdi,حرس الحدود,132,7,16970;17081;353348;550397;550412;579337;595068,NO - COLLISION
3,A. Assal,نهضة بركان,131,2,129923;294701,NO - COLLISION
4,Hamad Mansour,الشمال,121,2,42386;534008,NO - COLLISION
5,Mohamed Dabash,المصري,117,2,16944;546292,NO - COLLISION
6,A. Gamal,زد,117,5,16957;269557;377048;399276;550466,NO - COLLISION
7,Mostafa El-Badry,سموحة,105,1,16810,yes
8,Mohamed El Sayed,الزمالك,104,3,294367;472952;546948,NO - COLLISION
9,Ahmed Tarek,زد,104,2,282785;525899,NO - COLLISION
10,M. Radouani,النادي المكناسي,104,1,294767,yes
11,Waleed Al Mahrezi,اتحاد كلباء,104,1,283327,yes
12,Rashid Ali,الوحدة الإماراتي,104,1,50367,yes
13,Mohammad Nasser,عجمان,104,1,434016,yes
14,M. Ibrahim,البنك الأهلي,103,3,16868;296650;498005,NO - COLLISION
15,M. Awad,حرس الحدود,103,5,42157;44474;272893;483939;628389,NO - COLLISION
16,Abdel Rahman Osama,طلائع الجيش,103,1,270352,yes
17,G. Okwara,طلائع الجيش,103,1,292994,yes
18,B. El Idrissi Bouzidi,النادي المكناسي,103,1,435557,yes
19,O. Zemraoui,الوداد,103,1,294299,yes
20,Y. Boli,الريان,103,1,8513,yes
21,Paulo Otávio,السد,103,1,25208,yes
22,M. Nani,الشمال,103,1,6571,yes
23,Breno Cascardo,شباب الأهلي,103,1,406957,yes
24,Mohamed Abdelmonem,الأهلي المصري,102,1,196343,yes
25,Assem Salah,البنك الأهلي,102,1,17165,yes
26,Mohamed Tarek,الزمالك,102,2,342746;355404,NO - COLLISION
27,Ahmed Zaki,زد,102,2,342788;506688,NO - COLLISION
28,Fagrie Lakay,سيراميكا كليوباترا,102,1,46258,yes
29,O. Tannane,أم صلال,102,1,37191,yes
30,Hamdan Abdulrahman,الجزيرة الإماراتي,102,2,50301;197572,NO - COLLISION
31,A. Toure,النصر الإماراتي,102,1,407810,yes
32,Rikelme,شباب الأهلي,102,2,304824;579529,NO - COLLISION
33,Sayed Abdallah Sika,الزمالك,101,1,342789,yes
34,M. Ashraf,حرس الحدود,101,6,354224;426513;498397;550415;560727;588694,NO - COLLISION
35,Ahmed El-Saghiri,زد,101,1,147940,yes
36,Mohamed Metwaly Canaria,سموحة,101,1,17073,yes
37,Mohamed Saeed Shika,فاركو,101,1,16876,yes
38,Arnold Eba,مودرن سبورت,101,1,237158,yes
39,B. El Bahraoui,أولمبيك آسفي,101,1,36704,yes
40,S. Errahouli,أولمبيك آسفي,101,1,296299,yes
41,A. Bach,الجيش الملكي,101,1,146769,yes
42,Y. Ben Khaleq,الفتح,101,2,402890;579565,NO - COLLISION
43,B. Benoun,قطر,101,1,36556,yes
44,Abdulla Anwar,العروبة الإماراتي,101,1,50394,yes
45,Moussa Ndiaye,النصر الإماراتي,101,1,374055,yes
46,Karim Fouad,الأهلي المصري,100,1,17331,yes
47,Sobhy Soliman,الاتحاد السكندري,100,1,301698,yes
48,Naser Mansi,الزمالك,100,1,16848,yes
49,Maged Hany,بلدية المحلة,100,1,355010,yes
50,Mohamed Okasha,منتخب السويس بتروجت,100,1,339658,yes
51,Ali El Fil,مودرن سبورت,100,1,17163,yes
52,Y. Arbidi,الدفاع الحسني,100,1,152477,yes
53,Abdalaziz Al Hasia,الخور,100,1,68447,yes
54,R. Danzabe,قطر,100,1,406125,yes
55,C. Doumbia,النصر الإماراتي,100,1,354929,yes
56,G. Poblete,الوصل,100,1,6623,yes
57,Mohammed Marzooq,شباب الأهلي,100,1,50290,yes
58,Walid Abbas,شباب الأهلي,100,1,50288,yes
59,Mazen Yasser,الجونة,99,1,454718,yes
60,Mostafa Ziko,زد,99,1,395075,yes
61,Yehia Zakaria,غزل المحلة,99,1,289407,yes
