rank,player_en,team_ar,appearances,user_translation,player_id_count,player_ids,safe_to_write
201,Ahmed Nader Hawash,الشرقية إنبي,88,أحمد نادر حواش,1,384483,yes
202,Mohamed Fawzi,حرس الحدود,88,محمد فوزي,2,16972;395078,NO - COLLISION
203,A. Atef,زد,88,أحمد عاطف,3,196832;393210;610463,NO - COLLISION
204,Abdel Kader Yehia,غزل المحلة,88,عبد القادر يحيى,1,295626,yes
205,Yassin El Mallah,فاركو,88,ياسين الملاح,1,482332,yes
206,Ahmed Bahbah,منتخب السويس بتروجت,88,أحمد بحبح,1,17313,yes
207,Y. Kajai,اتحاد تواركة,88,ياسين كجاع,1,437201,yes
208,Z. Fati,اتحاد يعقوب المنصور,88,زكرياء فاتي,1,146341,yes
209,A. Mouloua,الفتح,88,عبد الإله مولوة,1,303519,yes
210,A. Boucheta,الوداد,88,أيمن بوشتة,1,294292,yes
211,Salem Rashid,اتحاد كلباء,88,سالم راشد,1,50351,yes
212,Zayed Al Ameri,الجزيرة الإماراتي,88,زايد العامري,1,50356,yes
213,Allan,الوحدة الإماراتي,88,ألان,1,326,yes
214,Ali Al Hosani,عجمان,88,علي الحوسني,1,50430,yes
215,Ahmed Ayman,الاتحاد السكندري,87,أحمد أيمن,3,16975;17327;640516,NO - COLLISION
216,Mahmoud El Gazzar,البنك الأهلي,87,محمود الجزار,1,17026,yes
217,Hazem Mohamed,حرس الحدود,87,حازم محمد,1,475725,yes
218,Aly Lotfy,زد,87,علي لطفي,1,16798,yes
219,Sameh Ibrahim,زد,87,سامح إبراهيم,1,303215,yes
220,Arthur Justice,سيراميكا كليوباترا,87,جاستيس أرثر,1,376490,yes
221,Ahmed El Arabi,غزل المحلة,87,أحمد العربي,1,16909,yes
222,Hady Reyad,منتخب السويس بتروجت,87,هادي رياض,1,119874,yes
223,A. Lamirat,أولمبيك آسفي,87,أيوب لعميرات,1,335383,yes
224,H. Doughmi,الشباب السالمي,87,حمزة الدغمي,1,310402,yes
225,S. El Moudane,حسنية أكادير,87,سفيان المودن,1,61353,yes
226,Y. El Hannach,الشمال,87,يونس الحناش,1,336655,yes
227,O. Keita,البطائح,87,عمر كيتا,1,339447,yes
